date,vn_retail_buy_vol,vn_retail_buy_value,vn_retail_sell_vol,vn_retail_sell_value,fr_retail_buy_vol,fr_retail_buy_value,fr_retail_sell_vol,fr_retail_sell_value,vn_institute_buy_vol,vn_institute_buy_value,vn_institute_sell_vol,vn_institute_sell_value,fr_institute_buy_vol,fr_institute_buy_value,fr_institute_sell_vol,fr_institute_sell_value
04/28/2025,537385744,11316977134,550509205,11158329216,1043064,26714965.1,1775029,38666229.6,43117139,954638576.1,37214629,1112254621,64846650,1827357731,56893734,1816438341
04/25/2025,661020048,14840902371,612681372,14283911498,3768006,83203520.3,1266291,48308426.3,89767179,3195182454,125395326,3159409618,68435079,2204275754,83647323,2831934557
04/24/2025,643482061,14189650444,641808076,14263160334,1959374,46396061.25,1235114,31689108.96,34347697,1012845787,59072378,1517910470,77486639,2383306729,55160203,1819439108
04/23/2025,658427619,14708976667,670022522,15225070581,3343714,68058818.55,1208758,32078182.9,73668041,2147393984,59888243,1539467503,65974710,2041586944,70294561,2169400147
04/22/2025,1416423908,28080513157,1406552712,28473617792,2491683,56421459.32,5736928,144003286,74094611,2147047533,103047058,2272372434,144605113,3810425152,122278617,3204413789
04/21/2025,731216045,15788608102,693821134,15168098232,1616441,42954401.65,2233001,62701512.9,39418600,1034165731,76712139,1823598019,60725773,1740982362,60210585,1552312833
04/18/2025,868172942,17822628458,885379393,18270150747,3232677,102146967.7,2600235,63598801.55,61206240,1485156909,37804002,1046457012,72691303,2126702959,79519532,2156428733
04/17/2025,619367697,16787996269,508702864,11381356017,1109756,33750951.81,841751,22224118.15,66612266,1967924348,105952985,2732967974,81038987,2805636138,152631106,7458759599
04/16/2025,653729401,15916321562,631079195,14892345400,1322061,38582106.85,2078284,62692570.95,41616365,1330401772,68871446,2078701338,72982998,2161808182,67621900,2413374313
04/15/2025,856759837,19502649883,834023939,18718421837,2053994,66054775.17,2912507,72771702.9,49844428,1515163553,84705871,2513543353,96037165,3107070315,83053107,2886201634
04/14/2025,807457023,19172387488,804858500,18950089275,3227826,81706372.6,1543740,45818655.3,53256632,1610925997,54688884,1719985527,107392191,3330979047,110242548,3480105447
4/11/2025,1374798525,29973202529,1357111226,29610105193,8650537,212101836.3,6132566,152178864.1,95041855,2636578233,144211791,3979773619,176133266,5308265707,147168600,4388090630
4/10/2025,269888535,5238062791,245044706,4463811592,2640630,49261607.24,348261,7511401.53,15920600,483818097,19562354,402669031.1,16331710,503149168.5,39826154,1400299639
4/09/2025,1269751836,24787604276,1202120242,22983190803,6736115,157157662.7,6622134,148012179.8,109146669,2861869189,187712720,4937518650,162335913,4588356800,151515437,4326266294
4/08/2025,958494590,21183909021,834597192,17135247731,2870560,85550535.32,2457497,58928716.05,57011419,1491429061,125074728,3812855914,79278896,2530734400,135526048,4284590657
4/04/2025,1566950894,33207008026,1470882023,30412574156,5405786,145056436,6512548,136607544.9,176396188,4640101528,188821557,4672327144,140517471,4195761251,223054211,6966418396
4/03/2025,1450594395,34081157400,1332081563,30877355957,3405701,91727936.64,6518152,168534485.9,124107887,3454461570,109680645,2969146793,62292607,1957088499,192120230,5569398170
4/02/2025,675859342,15413977185,644687562,13510561740,1270430,30040191.8,1502797,50254205.03,67018358,1876365524,82410588,3070187261,64773602,1936295477,80320785,2625675172
4/01/2025,487404488,11857946946,494311461,11766656439,2098849,70358163.84,2127427,65465099.85,45978700,1268660769,27321918,919484912.6,50690791,1812512029,62412022,2257871456
