symbol,so_cp_luu_hanh,close
S72,12000000.0,7.0
KSD,12000000.0,5.1
ATA,11999998.0,0.5
V21,11999789.0,6.8
VLF,11959982.0,0.8
PSL,11812500.0,12.5
ABT,11777257.0,65.0
YBC,11774180.0,9.6
FRM,11700000.0,5.4
TGP,11691075.0,6.8
V12,11636000.0,12.4
GVT,11605100.0,79.6
PCC,11500000.0,24.5
BLF,11499999.0,2.3
THB,11424570.0,10.3
DFC,11400000.0,27.0
VTJ,11400000.0,4.0
HPT,11386894.0,27.0
CNC,11364325.0,33.9
DC2,11304699.0,7.0
SFC,11291459.0,18.65
CMD,11220000.0,22.7
NST,11202003.0,12.4
HLS,11169125.0,21.0
SDP,11114472.0,0.9
NDP,11100000.0,19.5
VSG,11044000.0,1.4
CLM,11000000.0,67.6
TRT,10972768.0,5.9
NVP,10963000.0,7.5
HMS,10919830.0,34.5
NBW,10900000.0,38.3
EFI,10880000.0,2.4
VC6,10840877.0,43.3
VTB,10804520.0,10.15
NTH,10802053.0,55.0
MGC,10800000.0,14.0
